,id,submitdate,lastpage,startlanguage,seed,age,sex,degree,d2[other],job,d5[other],risk_aver,best_intention,reciproc1,reciproc2_neg,fox,wsj,wp,cnn,abc,reuters,econ,nyt,time,forbes,none,d6[other],ladder_me,ladder_repub,ladder_demo,ladder_indep,pol_views,pol_party,d11[other],chatgpt_pol,bert_pol,llama_pol,chatgpt_know,chatgpt_use,chatgpt_perc_acc,llama_know,llama_use,llama_perc_acc,bert_know,bert_use,bert_perc_acc,openai_pol,meta_pol,twitter_pol,apple_pol,exxon_pol,chatgpt_att1,chatgpt_att2,chatgpt_att3,chatgpt_att4,chatgpt_att5,chatgpt_att6,bert_att1,bert_att2,bert_att3,bert_att4,bert_att5,bert_att6,llama_att1,llama_att2,llama_att3,llama_att4,llama_att5,llama_att6,p1id,reciproc2,reciproc,chatgpt_att_avg,llama_att_avg,chatgpt_pol_dis,openai_pol_dis,bert_pol_dis,llama_pol_dis,meta_pol_dis,job_int,deg_int
10,11,1980-01-01 00:00:00,5.0,en,618630344,68.0,0,Undergraduate (University),,Retired,,1.0,1.0,10.0,3.0,0,0,0,0,0,0,0,0,0,0,1,0,4.0,8.0,8.0,6.0,6.0,1,,6.0,5.0,6.0,1,1,0.6,0,0,0.6,0,0,0.6,2.0,7.0,2.0,4.0,2.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,5e441ce319a8840160a4ba48,8.0,9.0,1.5,1.5,0.0,4.0,1.0,0.0,1.0,4,1
11,12,1980-01-01 00:00:00,5.0,en,1781595940,42.0,1,Graduate (University),,Self-employed,,2.0,2.0,8.0,3.0,0,0,0,0,0,0,0,0,0,0,1,0,7.0,4.0,5.0,6.0,4.0,0,,4.0,4.0,4.0,1,1,0.8,0,0,0.6,0,0,0.6,6.0,6.0,5.0,6.0,4.0,2.0,3.0,3.0,4.0,2.0,4.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,5dd3581abca2e436d1c171cb,8.0,8.0,3.0,3.0,0.0,2.0,0.0,0.0,2.0,0,0
12,13,1980-01-01 00:00:00,5.0,en,751474555,22.0,0,High school,,Student,,4.0,8.0,10.0,2.0,0,0,0,0,0,0,0,0,0,0,1,0,4.0,7.0,3.0,6.0,6.0,-1,,4.0,4.0,4.0,1,0,0.6,0,0,0.6,0,0,0.6,4.0,2.0,3.0,5.0,3.0,2.0,2.0,3.0,5.0,2.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,627b0d689d780840df214aee,9.0,9.5,3.0,3.0,2.0,2.0,2.0,2.0,4.0,1,3
13,14,1980-01-01 00:00:00,5.0,en,718240561,28.0,1,Completed vocational training,,Employed full-time,,7.0,9.0,9.0,2.0,0,0,0,0,0,0,0,0,0,0,1,0,5.0,7.0,7.0,5.0,7.0,-1,,4.0,4.0,4.0,1,1,0.4,0,0,0.6,0,0,0.6,4.0,3.0,2.0,4.0,2.0,4.0,4.0,5.0,4.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,5f5561166d9ce792e07134e2,9.0,9.0,3.6666666666666665,3.0,3.0,3.0,3.0,3.0,4.0,3,4
14,15,1980-01-01 00:00:00,5.0,en,804405438,22.0,1,High school,,Employed part-time,,3.0,4.0,7.0,5.0,0,0,0,0,0,0,0,0,0,0,1,0,6.0,6.0,6.0,7.0,4.0,0,,5.0,4.0,4.0,1,1,0.6,0,0,0.6,0,0,0.6,6.0,6.0,6.0,6.0,2.0,3.0,4.0,4.0,4.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,5e1bdc0107c9c73e922e4b4e,6.0,6.5,3.3333333333333335,3.0,1.0,2.0,0.0,0.0,2.0,2,3
15,16,1980-01-01 00:00:00,5.0,en,989698300,34.0,0,University of Applied Sciences degree,,Employed part-time,,6.0,5.0,8.0,5.0,1,1,1,1,0,1,1,1,0,1,0,0,4.0,5.0,5.0,5.0,6.0,0,,4.0,4.0,4.0,1,0,0.8,0,0,0.6,0,0,0.6,4.0,2.0,4.0,3.0,3.0,4.0,3.0,3.0,2.0,3.0,4.0,3.0,3.0,4.0,4.0,2.0,4.0,3.0,3.0,3.0,3.0,2.0,3.0,5bc79ce8f653a50001ce430e,6.0,7.0,3.1666666666666665,2.8333333333333335,2.0,2.0,2.0,2.0,4.0,2,5
16,17,1980-01-01 00:00:00,5.0,en,134215397,42.0,1,Completed vocational training,,Employed full-time,,5.0,4.0,8.0,1.0,0,0,0,0,0,0,0,0,0,0,0,"New York Post, Washington Times",5.0,5.0,7.0,6.0,1.0,1,,7.0,4.0,4.0,1,0,0.6,0,0,0.6,0,0,0.6,7.0,7.0,4.0,7.0,4.0,3.0,3.0,3.0,3.0,1.0,5.0,3.0,3.0,3.0,3.0,1.0,1.0,3.0,3.0,3.0,3.0,1.0,2.0,5f500550ad48ba16ff920279,10.0,9.0,3.0,2.5,6.0,6.0,3.0,3.0,6.0,3,4
17,18,1980-01-01 00:00:00,5.0,en,1466932394,28.0,1,High school,,Employed part-time,,3.0,6.0,9.0,3.0,0,0,0,0,0,0,0,0,0,0,0,The Intercept & The Guardian,4.0,5.0,5.0,6.0,6.0,0,,4.0,4.0,4.0,1,1,0.4,0,0,0.6,1,1,0.6,4.0,5.0,4.0,5.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,603bef3bffe72f8b0a6b55c4,8.0,8.5,4.0,4.0,2.0,2.0,2.0,2.0,1.0,2,3
18,19,1980-01-01 00:00:00,5.0,en,911652529,26.0,0,Undergraduate (University),,Student,,2.0,5.0,8.0,2.0,0,0,0,0,0,0,0,0,0,0,1,0,5.0,5.0,5.0,5.0,3.0,1,,6.0,5.0,5.0,1,0,0.6,0,0,0.6,0,0,0.6,6.0,6.0,6.0,5.0,5.0,3.0,3.0,3.0,4.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,610329b3d3eafd7489113416,9.0,8.5,2.8333333333333335,2.6666666666666665,3.0,3.0,2.0,2.0,3.0,1,1
19,20,1980-01-01 00:00:00,5.0,en,2055259306,26.0,0,Undergraduate (University),,Employed part-time,,7.0,6.0,9.0,7.0,0,0,0,0,0,0,0,0,0,0,1,0,5.0,7.0,7.0,7.0,6.0,0,,3.0,4.0,4.0,1,0,0.8,0,0,0.6,0,0,0.6,4.0,5.0,3.0,6.0,1.0,2.0,2.0,2.0,4.0,1.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,5f5fc8153ba37c07caa9b45e,4.0,6.5,2.3333333333333335,2.6666666666666665,3.0,2.0,2.0,2.0,1.0,2,1
20,21,1980-01-01 00:00:00,5.0,en,59530895,26.0,0,Undergraduate (University),,Employed full-time,,6.0,6.0,7.0,3.0,0,0,0,1,1,0,0,1,1,1,0,0,6.0,4.0,6.0,5.0,6.0,-1,,4.0,4.0,4.0,1,1,0.8,0,0,0.6,0,0,0.6,4.0,2.0,6.0,5.0,4.0,3.0,3.0,3.0,4.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,60ff14a46f99a66e7d2a73ef,8.0,7.5,3.0,3.0,2.0,2.0,2.0,2.0,4.0,3,1
21,22,1980-01-01 00:00:00,5.0,en,68116644,40.0,1,Undergraduate (University),,Employed full-time,,3.0,7.0,8.0,2.0,0,0,0,1,0,1,0,0,0,0,0,0,5.0,6.0,4.0,5.0,5.0,-1,,4.0,4.0,4.0,1,1,0.6,0,0,0.6,0,0,0.6,4.0,3.0,4.0,4.0,2.0,3.0,3.0,3.0,2.0,2.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,5aa4c7794eecca0001dde769,9.0,8.5,2.8333333333333335,3.0,1.0,1.0,1.0,1.0,2.0,3,1
22,23,1980-01-01 00:00:00,5.0,en,1563560646,27.0,1,Graduate (University),,Employed full-time,,6.0,5.0,10.0,5.0,0,0,0,0,0,0,0,0,0,0,1,0,6.0,7.0,7.0,7.0,5.0,-1,,4.0,4.0,4.0,1,0,0.8,0,0,0.6,0,0,0.6,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,5.0,3.0,5.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,612252e1143216231e134d68,6.0,8.0,4.166666666666667,3.0,1.0,1.0,1.0,1.0,1.0,3,0
23,24,1980-01-01 00:00:00,5.0,en,1183133203,51.0,0,Graduate (University),,Self-employed,,1.0,4.0,4.0,1.0,0,0,0,0,0,0,0,0,0,0,1,0,5.0,1.0,5.0,10.0,4.0,0,,3.0,3.0,4.0,1,0,0.2,0,0,0.2,0,0,0.2,4.0,4.0,4.0,4.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,610d7c6a95a9ebcd19ba63ab,10.0,7.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0,0
24,25,1980-01-01 00:00:00,5.0,en,1635490089,38.0,1,Completed vocational training,,Employed full-time,,6.0,5.0,8.0,2.0,0,0,0,0,0,1,0,0,1,0,0,0,3.0,3.0,3.0,3.0,7.0,0,,5.0,5.0,5.0,1,0,0.8,0,0,0.6,0,0,0.6,6.0,4.0,3.0,3.0,2.0,4.0,4.0,4.0,4.0,1.0,4.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,1.0,4.0,5ccb55d3ce1ed50016360b57,9.0,8.5,3.5,2.8333333333333335,2.0,1.0,2.0,2.0,3.0,3,4
25,26,1980-01-01 00:00:00,5.0,en,61244384,23.0,0,Undergraduate (University),,Employed part-time,,3.0,3.0,8.0,2.0,0,0,0,1,0,0,0,1,1,0,0,0,6.0,6.0,4.0,4.0,5.0,-1,,4.0,4.0,4.0,1,1,0.8,0,0,0.6,0,0,0.6,5.0,5.0,6.0,6.0,3.0,4.0,4.0,4.0,5.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,5f2dde4be81ec512f26e09e8,9.0,8.5,4.166666666666667,3.0,1.0,0.0,1.0,1.0,0.0,2,1
26,27,1980-01-01 00:00:00,5.0,en,1695489982,34.0,1,Undergraduate (University),,Self-employed,,3.0,2.0,10.0,1.0,1,1,1,0,1,0,0,1,0,0,0,Dailymail,3.0,5.0,3.0,5.0,2.0,1,,5.0,4.0,6.0,1,0,0.8,1,0,0.6,0,0,0.6,5.0,6.0,2.0,5.0,4.0,2.0,2.0,2.0,5.0,3.0,3.0,2.0,4.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,5f2f03deec679e2cf4a992e6,10.0,10.0,2.8333333333333335,2.8333333333333335,3.0,3.0,2.0,4.0,4.0,0,1
27,28,1980-01-01 00:00:00,5.0,en,952862238,22.0,0,Graduate (University),,Self-employed,,7.0,9.0,10.0,5.0,1,0,0,1,1,0,0,1,1,1,0,0,7.0,10.0,9.0,10.0,2.0,-1,,4.0,5.0,4.0,0,0,0.8,0,0,0.8,0,0,0.8,5.0,5.0,5.0,5.0,5.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,5f1696cf435271377d1a278d,6.0,8.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0,0,0
28,29,1980-01-01 00:00:00,5.0,en,466447583,42.0,1,Graduate (University),,Self-employed,,3.0,6.0,9.0,2.0,0,0,0,1,0,0,0,0,0,0,0,"NPR, AP",4.0,5.0,5.0,5.0,7.0,-1,,5.0,4.0,4.0,1,1,0.8,0,0,0.6,0,0,0.6,5.0,4.0,3.0,5.0,2.0,4.0,4.0,4.0,5.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0,3.0,3.0,3.0,3.0,3.0,5.0,5b54ce6fb7ef510001676f99,9.0,9.0,3.8333333333333335,3.3333333333333335,2.0,2.0,3.0,3.0,3.0,0,0
29,30,1980-01-01 00:00:00,5.0,en,500066218,21.0,0,Undergraduate (University),,Employed full-time,,7.0,6.0,10.0,3.0,0,0,0,0,0,0,0,1,0,0,0,0,5.0,7.0,7.0,6.0,7.0,-1,,5.0,4.0,4.0,1,1,0.6,1,1,0.6,1,1,0.6,4.0,4.0,3.0,6.0,3.0,2.0,3.0,2.0,4.0,1.0,3.0,2.0,3.0,2.0,3.0,1.0,3.0,2.0,3.0,2.0,3.0,1.0,3.0,60fcec77c349819a0afe600b,8.0,9.0,2.5,2.3333333333333335,2.0,3.0,3.0,3.0,3.0,3,1
30,31,1980-01-01 00:00:00,5.0,en,1018744540,46.0,1,High school,,Homemaker,,3.0,9.0,10.0,1.0,0,0,0,0,0,0,0,0,0,0,1,0,3.0,7.0,6.0,6.0,6.0,-1,,5.0,4.0,4.0,1,1,0.8,0,0,0.6,0,0,0.6,4.0,2.0,1.0,6.0,2.0,4.0,5.0,5.0,5.0,4.0,5.0,3.0,3.0,3.0,3.0,1.0,5.0,3.0,3.0,3.0,3.0,1.0,5.0,5808f958b648e600016375dd,10.0,10.0,4.666666666666667,3.0,1.0,2.0,2.0,2.0,4.0,5,3
31,32,1980-01-01 00:00:00,5.0,en,725322616,27.0,0,Graduate (University),,Employed full-time,,3.0,7.0,9.0,2.0,0,1,1,1,0,0,0,1,0,1,0,0,7.0,7.0,5.0,5.0,5.0,-1,,4.0,4.0,4.0,0,0,0.6,0,0,0.6,0,0,0.6,4.0,5.0,5.0,5.0,3.0,3.0,3.0,3.0,4.0,2.0,2.0,3.0,3.0,3.0,4.0,2.0,2.0,3.0,3.0,3.0,4.0,2.0,2.0,6422265578963ff5d3dbd0b2,9.0,9.0,2.8333333333333335,2.8333333333333335,1.0,1.0,1.0,1.0,0.0,3,0
32,33,1980-01-01 00:00:00,5.0,en,1973625307,25.0,0,Undergraduate (University),,Employed full-time,,8.0,5.0,8.0,5.0,0,1,0,0,0,0,0,1,0,0,0,0,5.0,5.0,6.0,6.0,5.0,-1,,5.0,4.0,4.0,1,1,0.6,0,0,0.6,1,0,0.6,3.0,4.0,4.0,5.0,2.0,3.0,3.0,2.0,5.0,3.0,5.0,3.0,3.0,3.0,4.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0,4.0,5e34ac3b5aa70048c5b2a2f3,6.0,7.0,3.5,3.3333333333333335,0.0,2.0,1.0,1.0,1.0,3,1
33,34,1980-01-01 00:00:00,5.0,en,966035118,28.0,1,High school,,Employed part-time,,8.0,9.0,10.0,4.0,0,0,0,0,0,0,0,0,0,0,1,0,2.0,8.0,8.0,6.0,4.0,-1,,4.0,4.0,4.0,1,1,1.0,0,0,0.8,0,0,0.8,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0,1.0,5.0,4.0,5.0,4.0,4.0,1.0,5.0,4.0,4.0,4.0,5.0,1.0,5.0,5f4c5eda037ed5165232d0a0,7.0,8.5,4.0,3.8333333333333335,0.0,0.0,0.0,0.0,0.0,2,3
34,35,1980-01-01 00:00:00,5.0,en,1004167639,35.0,0,High school,,Employed full-time,,2.0,6.0,8.0,4.0,0,0,0,0,0,1,0,0,0,0,0,0,4.0,6.0,4.0,5.0,7.0,-1,,4.0,3.0,4.0,1,1,0.6,0,0,0.6,0,0,0.6,3.0,3.0,2.0,4.0,2.0,2.0,2.0,3.0,3.0,1.0,3.0,2.0,2.0,3.0,3.0,1.0,2.0,2.0,2.0,3.0,2.0,1.0,1.0,63f87774aee5dc0602bf3419,7.0,7.5,2.3333333333333335,1.8333333333333333,3.0,4.0,4.0,3.0,4.0,3,3
35,36,1980-01-01 00:00:00,5.0,en,770809557,40.0,1,Undergraduate (University),,Employed part-time,,8.0,6.0,9.0,3.0,1,1,1,1,1,1,1,1,1,1,0,0,2.0,2.0,2.0,2.0,5.0,0,,4.0,4.0,4.0,1,1,0.6,0,0,0.6,0,0,0.6,4.0,5.0,5.0,5.0,4.0,3.0,3.0,3.0,4.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,5e84c817507cd3066a527e5e,8.0,8.5,3.0,2.8333333333333335,1.0,1.0,1.0,1.0,0.0,2,1
36,37,1980-01-01 00:00:00,5.0,en,1950545181,23.0,0,Undergraduate (University),,Employed full-time,,3.0,1.0,7.0,5.0,0,1,1,1,1,0,0,1,1,1,0,0,3.0,8.0,5.0,5.0,7.0,-1,,4.0,4.0,4.0,1,0,0.8,0,0,0.6,0,0,0.6,4.0,2.0,6.0,4.0,4.0,3.0,2.0,3.0,4.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,5fb34c59be8dfaa85d637cb5,6.0,6.5,2.6666666666666665,3.0,3.0,3.0,3.0,3.0,5.0,3,1
37,38,1980-01-01 00:00:00,5.0,en,1724428046,49.0,1,Undergraduate (University),,Employed full-time,,6.0,8.0,9.0,5.0,0,0,0,0,0,0,0,1,1,0,0,0,7.0,1.0,7.0,3.0,3.0,-1,,6.0,4.0,5.0,1,1,0.8,0,0,0.6,0,0,0.6,5.0,6.0,7.0,5.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0,3.0,3.0,3.0,3.0,3.0,5.0,3.0,3.0,3.0,3.0,3.0,5.0,5dda942451c6d29ef6b84635,6.0,7.5,4.333333333333333,3.3333333333333335,3.0,2.0,1.0,2.0,3.0,3,1
38,39,1980-01-01 00:00:00,5.0,en,969161877,38.0,0,High school,,Employed full-time,,4.0,3.0,9.0,2.0,0,0,0,0,0,0,0,0,0,0,1,0,5.0,3.0,3.0,5.0,4.0,-1,,4.0,4.0,3.0,1,0,0.6,0,0,0.4,0,0,0.4,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,600f455bb9d3f7107e673797@email.prolific.co,9.0,9.0,3.0,3.1666666666666665,0.0,2.0,0.0,1.0,1.0,3,3
39,40,1980-01-01 00:00:00,5.0,en,1071167840,34.0,0,Graduate (University),,Employed part-time,,9.0,3.0,9.0,1.0,0,0,1,1,1,0,0,1,1,1,0,0,6.0,8.0,6.0,3.0,6.0,-1,,6.0,6.0,6.0,0,0,0.8,0,0,0.8,0,0,0.8,6.0,3.0,6.0,6.0,3.0,3.0,3.0,2.0,2.0,1.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,60fe2fca7cb19f2601f75d3c,10.0,9.5,2.3333333333333335,2.5,0.0,0.0,0.0,0.0,3.0,2,0
40,41,1980-01-01 00:00:00,5.0,en,1737749124,40.0,1,Undergraduate (University),,Employed full-time,,4.0,6.0,10.0,1.0,0,0,0,0,0,0,0,0,0,0,1,0,4.0,2.0,2.0,2.0,7.0,-1,,3.0,3.0,3.0,1,1,0.6,0,0,0.6,0,0,0.6,3.0,2.0,2.0,4.0,1.0,3.0,2.0,2.0,4.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,558b8473fdf99b21155f2c40,10.0,10.0,2.5,3.0,4.0,4.0,4.0,4.0,5.0,3,1
41,42,1980-01-01 00:00:00,5.0,en,1285405393,40.0,0,Graduate (University),,Employed full-time,,3.0,2.0,9.0,5.0,0,0,1,1,0,1,0,1,1,0,0,0,5.0,3.0,6.0,5.0,6.0,-1,,7.0,6.0,6.0,1,1,0.8,1,0,0.6,1,0,0.6,5.0,3.0,2.0,4.0,4.0,3.0,4.0,3.0,4.0,3.0,2.0,3.0,3.0,4.0,4.0,3.0,2.0,3.0,3.0,3.0,4.0,3.0,3.0,5f96ae079554ed0256dc3c0b,6.0,7.5,3.1666666666666665,3.1666666666666665,1.0,1.0,0.0,0.0,3.0,3,0
42,43,1980-01-01 00:00:00,5.0,en,223244836,22.0,0,High school,,Homemaker,,2.0,1.0,8.0,3.0,0,0,0,0,0,0,0,0,0,0,1,0,5.0,8.0,1.0,4.0,1.0,1,,4.0,4.0,4.0,0,0,0.6,0,0,0.6,0,0,0.6,4.0,5.0,7.0,5.0,3.0,3.0,4.0,4.0,5.0,1.0,4.0,3.0,3.0,4.0,5.0,1.0,1.0,3.0,4.0,4.0,5.0,1.0,1.0,5f3435be6fd6892fdc74b607,8.0,8.0,3.5,3.0,3.0,3.0,3.0,3.0,4.0,5,3
